awardId,recipient,agency,subAgency,awardType,amount,issueDomain,awardCount,uei,piid,modificationNumber,actionDate,competitionType,numberOfOffers,priceOnlyAward,exPostModification,protestFiled,exclusionFlag,firewallCovered
68HERD24F0055,BOOZ ALLEN HAMILTON INC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,24.4573,procurement,1,JCBMLGPE6Z71,68HERD24F0055,0,2024-04-22,FULL AND OPEN COMPETITION,2,false,false,false,false,false
EP0001,WESTON SOLUTIONS INC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,24.3224,procurement,1,Z4XGALW7L9K6,EP0001,0,2006-07-20,NEGOTIATED PROPOSAL/QUOTE,2,false,false,false,false,false
68HE0124F0033,"HYDROGEOLOGIC, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,24.1978,procurement,1,S7Q4GKNGGA81,68HE0124F0033,0,2024-09-19,FULL AND OPEN COMPETITION,2,false,false,false,false,false
68HE0923F0079,"ENVIRONMENTAL QUALITY MANAGEMENT, INC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,24.1447,procurement,1,DBD6KDKXWN65,68HE0923F0079,0,2023-08-15,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,0,false,false,false,true,false
68HE0723F0144,"A AND M ENGINEERING & ENVIRONMENTAL SERVICES, INC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,24.0363,procurement,1,JSJ3GTXH95V6,68HE0723F0144,0,2023-09-22,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,0,false,false,false,true,false
0046,ARCTIC SLOPE MISSION SERVICES LLC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,23.9964,procurement,1,WTJEFSM3P945,0046,0,2017-02-12,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,0,false,false,false,true,false
68HE0324F0034,"CONTI FEDERAL SERVICES, LLC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,23.7870,procurement,1,NVSLLHE5WCE5,68HE0324F0034,0,2024-05-16,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HE0223F0052,"HYDROGEOLOGIC, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,23.3091,procurement,1,S7Q4GKNGGA81,68HE0223F0052,0,2023-09-29,FULL AND OPEN COMPETITION,1,true,false,false,false,false
68HE0722F0137,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,23.2900,procurement,1,LEEMJD9WKDC9,68HE0722F0137,0,2022-08-26,FULL AND OPEN COMPETITION,2,false,false,false,false,false
68HE0723F0133,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,23.2257,procurement,1,LEEMJD9WKDC9,68HE0723F0133,0,2023-09-26,FULL AND OPEN COMPETITION,2,false,false,false,false,false
68HE0223F0053,"HYDROGEOLOGIC, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,22.9732,procurement,1,S7Q4GKNGGA81,68HE0223F0053,0,2023-09-29,FULL AND OPEN COMPETITION,1,true,false,false,false,false
68HE0323C0004,"EQM SERVICES, LLC",Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,22.8597,procurement,1,YZCLNX5DTCM4,68HE0323C0004,0,2023-09-29,NOT AVAILABLE FOR COMPETITION,1,true,false,false,false,false
EPB16H00188,CELLCO PARTNERSHIP,Environmental Protection Agency,Environmental Protection Agency,BPA CALL,22.1267,procurement,1,CK77N4SCAJD3,EPB16H00188,0,2016-09-26,FULL AND OPEN COMPETITION,3,false,false,false,false,false
EPC16003,EASTERN RESEARCH GROUP INC,Environmental Protection Agency,Environmental Protection Agency,DEFINITIVE CONTRACT,21.9425,procurement,1,DK4TBEJRAR56,EPC16003,0,2016-06-24,FULL AND OPEN COMPETITION,2,false,false,false,false,false
68HE0124F0024,"AECOM TECHNICAL SERVICES, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,21.7056,procurement,1,EPUXNLX5EYC4,68HE0124F0024,0,2024-08-21,FULL AND OPEN COMPETITION,5,false,false,false,false,false
EPG11D00096,"LEIDOS MANAGEMENT SYSTEMS DESIGNERS, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,21.3581,procurement,1,X1NCU18Q19T9,EPG11D00096,0,2011-06-22,FULL AND OPEN COMPETITION,1,true,false,false,false,false
68HE0322F0065,WESTON-TECHLAW JV LLC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,21.2680,procurement,1,EHPRA8XKYA34,68HE0322F0065,0,2022-08-24,FULL AND OPEN COMPETITION,0,false,false,false,false,false
EP0012,WESTON SOLUTIONS INC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,21.2253,procurement,1,Z4XGALW7L9K6,EP0012,0,2006-07-20,NEGOTIATED PROPOSAL/QUOTE,2,false,false,false,false,false
68HE0120F0027,WESTON SOLUTIONS INC,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,21.1373,procurement,1,Z4XGALW7L9K6,68HE0120F0027,0,2020-06-30,FULL AND OPEN COMPETITION,0,false,false,false,false,false
68HE0522F0086,"AECOM TECHNICAL SERVICES, INC.",Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,20.8916,procurement,1,EPUXNLX5EYC4,68HE0522F0086,0,2022-07-11,FULL AND OPEN COMPETITION,1,true,false,false,false,false
0032,CGI FEDERAL INC.,Environmental Protection Agency,Environmental Protection Agency,DELIVERY ORDER,20.5293,procurement,1,TRKEP1HEBNS5,0032,0,2013-09-25,FULL AND OPEN COMPETITION,0,false,false,false,false,false
