registrantApiId,clientRelationshipId,filingYear,filingPeriod,canonicalActorId,primaryName,filings,filingUuids,filingTypes,amendmentLabeledFilings,distinctSourceAmounts,postingTimeTie,latestPostingMissingWithEarlierAmount,noActivityNonzero,sourceFingerprint,reviewStatus
38164,48,2008,third_quarter,cand-b905d6833296,American Petroleum Institute,2,8e32d976-3750-4f23-8311-0288a7831c88;b88bc2dc-ddda-454c-b624-d8c281579b7d,Q3;Q3Y,0,2,false,false,true,c0ee666c44676d5788043f47f0c619224bd08cd70b3e60069151dc7dbc759687,candidate_group_not_adjudicated
4733,12,2005,mid_year,cand-f7178708cc78,AMERICAN ASSOCIATION FOR JUSTICE,2,d72204ef-692a-4b5f-a757-b480ccd9c646;e8171441-7e83-4c9e-b896-51e57a851cc7,MA;MM,1,1,false,false,false,890a993b715647fac18df2951d73b270526a6563e8a91b16bb032e847edeb0e9,candidate_group_not_adjudicated
72053,113,2003,year_end,cand-d5522e62fad7,AMERICAN GAS ASSOCIATION,2,00402a35-a25c-456a-b6f2-6abc4e780088;c82c7e7c-3a06-4c04-92dc-1fe3e97cae6a,YY;YY,0,2,false,false,false,fc5cfc6070777d97fb90961d9ea6b1e00e13398b115e9e757c831f71440a4f7e,candidate_group_not_adjudicated
74077,12,2003,mid_year,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2,50ca0707-6dc1-43a0-9115-89ba56ffd0c7;9bd361f7-98e7-46a9-90cd-267ace5ca84c,MA;MM,1,1,false,true,false,163fb794da806370102ba1666bd29065bc29b05853158f01ce5c2c7d65e663fd,candidate_group_not_adjudicated
74077,12,2008,fourth_quarter,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,2,016d38d6-def3-4035-ba77-330dc398c5f2;41dbf8a1-f626-4a1a-9da4-dd9c06b39b4d,Q4;4A,1,1,false,false,false,2d2c6463c818c010d952e5ff133fa752402b3bd843f2d8e16046df75a32747b5,candidate_group_not_adjudicated
76833,330,2005,mid_year,cand-f7178708cc78,AMERICAN ASSOCIATION FOR JUSTICE,2,84474d21-427e-4bd8-aa25-79bc54c2bd5e;dfa590db-e37c-4b60-8789-1c2eae90add0,MM;MM,0,1,true,false,false,b1479cdc3863d7fb3b310c3f68b74c117ab9fa7c14631526c8e17775a3ae2fc1,source_identity_conflict_not_mergeable
76833,330,2005,year_end,cand-f7178708cc78,AMERICAN ASSOCIATION FOR JUSTICE,2,b53db4eb-a3e2-465a-91b4-51e10da90408;cda90ce4-487d-415a-98d9-535be41f6b94,YY;YY,0,2,true,false,false,e37f77a54afd9703d34224b562bf7c6908d8b2a024d470dac2b16a546f8343bb,source_identity_conflict_not_mergeable
76833,330,2006,mid_year,cand-f7178708cc78,AMERICAN ASSOCIATION FOR JUSTICE,2,70676224-e4e0-4a06-8afb-ab7737eacae9;82782f8c-e4d4-4eee-89bb-1b36b23d0278,MM;MM,0,2,true,false,false,8f539c77f16f5619b6a4935236226387f5cccffa97acfeea697bdec858355c11,source_identity_conflict_not_mergeable
76833,330,2006,year_end,cand-f7178708cc78,AMERICAN ASSOCIATION FOR JUSTICE,2,2d1c91a8-0d49-4121-a930-a8d0181a8396;6e46bb1a-eacb-47a0-96d1-d671f2b04cd9,YY;YY,0,2,false,false,false,e355295a7fd943c2c63d29ae09e1db6d099abe64a33c01a90753f2dbc9107895,source_identity_conflict_not_mergeable
76833,330,2007,mid_year,cand-f7178708cc78,AMERICAN ASSOCIATION FOR JUSTICE,2,b7cbb7ae-37f9-438f-be19-9131c9fe1ea8;c19a316f-abef-42c0-a06c-05e6a46be749,MM;M@,1,2,false,false,false,0e47075a5a4d2f9a996b2da335ecaffde895e8eae9e38f233d2dd68ffaf0eb2c,source_identity_conflict_not_mergeable
79756,90,2005,mid_year,cand-b905d6833296,American Petroleum Institute,2,1da0278f-e114-450f-81d1-cfe4994fe35a;e373e7d3-705b-4b13-9e63-8985e9e4b3dc,MMY;MA,1,1,false,false,false,b112918b5afe6b61f3e024104f8915baff9597b1b7028ac5bef85f6c24cd843d,candidate_group_not_adjudicated
79756,90,2005,year_end,cand-b905d6833296,American Petroleum Institute,2,372b6cc7-2d26-4670-83a2-cdea0637d30b;950821c8-110b-4d6b-bdc6-21909d6b2a7b,YYY;YY,0,1,false,false,false,f35ca03f49ecf3baf6981955d3761ca11085b3843501d44be5d853e9e517fdb7,candidate_group_not_adjudicated
