reformEventId,canonicalActorId,actorName,comparisonGroup,treated,sourceSystem,sourceOutcome,quarter,quarterIndex,eventTimeQuarter,periodStart,periodEnd,eventQuarter,includedInPrimary,prePostClass,observedSourceRecords,zeroFilled,activityAmountMillions,activityAmountDollars,log1pActivityDollars,preparationRule,claimBoundary
hloga-2007-federal-lobbying-disclosure,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q3,2,0,2007-07-01,2007-09-30,yes,no,event_quarter_excluded,2,no,0.04000000,40000.00,10.59665973,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q4,3,1,2007-10-01,2007-12-31,no,yes,post,2,no,0.04000000,40000.00,10.59665973,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q1,4,2,2008-01-01,2008-03-31,no,yes,post,2,no,0.02000000,20000.00,9.90353755,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q2,5,3,2008-04-01,2008-06-30,no,yes,post,2,no,0.05000000,50000.00,10.81979828,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q3,6,4,2008-07-01,2008-09-30,no,yes,post,2,no,0.03000000,30000.00,10.30898599,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-372cc95f9387,AMERICAN PUBLIC GAS ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q4,7,5,2008-10-01,2008-12-31,no,yes,post,2,no,0.02500000,25000.00,10.12667110,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q1,0,-2,2007-01-01,2007-03-31,no,yes,clean_pre,4,no,0.23867403,238674.03,12.38285821,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q2,1,-1,2007-04-01,2007-06-30,no,yes,clean_pre,4,no,0.24132597,241325.97,12.39390800,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q3,2,0,2007-07-01,2007-09-30,yes,no,event_quarter_excluded,3,no,0.20000000,200000.00,12.20607765,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q4,3,1,2007-10-01,2007-12-31,no,yes,post,3,no,0.20000000,200000.00,12.20607765,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q1,4,2,2008-01-01,2008-03-31,no,yes,post,3,no,0.33960000,339600.00,12.73552668,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q2,5,3,2008-04-01,2008-06-30,no,yes,post,3,no,0.32800000,328000.00,12.70077194,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q3,6,4,2008-07-01,2008-09-30,no,yes,post,3,no,0.33670000,336700.00,12.72695058,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-5d1da86118e5,AMERICAN BENEFITS COUNCIL,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q4,7,5,2008-10-01,2008-12-31,no,yes,post,3,no,0.30040000,300400.00,12.61287353,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q1,0,-2,2007-01-01,2007-03-31,no,yes,clean_pre,3,no,0.15911602,159116.02,11.97739520,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q2,1,-1,2007-04-01,2007-06-30,no,yes,clean_pre,3,no,0.16088398,160883.98,11.98844497,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q3,2,0,2007-07-01,2007-09-30,yes,no,event_quarter_excluded,4,no,0.13000000,130000.00,11.77529742,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q4,3,1,2007-10-01,2007-12-31,no,yes,post,4,no,0.13000000,130000.00,11.77529742,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q1,4,2,2008-01-01,2008-03-31,no,yes,post,3,no,0.09000000,90000.00,11.40757606,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q2,5,3,2008-04-01,2008-06-30,no,yes,post,3,no,0.13000000,130000.00,11.77529742,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q3,6,4,2008-07-01,2008-09-30,no,yes,post,3,no,0.11000000,110000.00,11.60824474,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-9948f2974958,ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q4,7,5,2008-10-01,2008-12-31,no,yes,post,3,no,0.10000000,100000.00,11.51293546,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-b905d6833296,American Petroleum Institute,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q1,0,-2,2007-01-01,2007-03-31,no,yes,clean_pre,10,no,1.11878453,1118784.53,13.92775431,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-b905d6833296,American Petroleum Institute,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q2,1,-1,2007-04-01,2007-06-30,no,yes,clean_pre,10,no,1.13121547,1131215.47,13.93880413,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-b905d6833296,American Petroleum Institute,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q3,2,0,2007-07-01,2007-09-30,yes,no,event_quarter_excluded,14,no,1.58000000,1580000.00,14.27293604,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-b905d6833296,American Petroleum Institute,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q4,3,1,2007-10-01,2007-12-31,no,yes,post,14,no,1.58000000,1580000.00,14.27293604,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-b905d6833296,American Petroleum Institute,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q1,4,2,2008-01-01,2008-03-31,no,yes,post,9,no,1.68000000,1680000.00,14.33430495,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-b905d6833296,American Petroleum Institute,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q2,5,3,2008-04-01,2008-06-30,no,yes,post,10,no,1.39000000,1390000.00,14.14481502,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-b905d6833296,American Petroleum Institute,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q3,6,4,2008-07-01,2008-09-30,no,yes,post,11,no,1.70000000,1700000.00,14.34613940,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-b905d6833296,American Petroleum Institute,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q4,7,5,2008-10-01,2008-12-31,no,yes,post,11,no,1.67940000,1679400.00,14.33394774,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,AMERICAN ASSOCIATION OF CROP INSURERS,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q1,0,-2,2007-01-01,2007-03-31,no,yes,clean_pre,2,no,0.02983425,29834.25,10.30344600,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,AMERICAN ASSOCIATION OF CROP INSURERS,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q2,1,-1,2007-04-01,2007-06-30,no,yes,clean_pre,2,no,0.03016575,30165.75,10.31449547,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,AMERICAN ASSOCIATION OF CROP INSURERS,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q3,2,0,2007-07-01,2007-09-30,yes,no,event_quarter_excluded,2,no,0.07000000,70000.00,11.15626481,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,AMERICAN ASSOCIATION OF CROP INSURERS,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q4,3,1,2007-10-01,2007-12-31,no,yes,post,2,no,0.07000000,70000.00,11.15626481,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,AMERICAN ASSOCIATION OF CROP INSURERS,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q1,4,2,2008-01-01,2008-03-31,no,yes,post,2,no,0.07000000,70000.00,11.15626481,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,AMERICAN ASSOCIATION OF CROP INSURERS,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q2,5,3,2008-04-01,2008-06-30,no,yes,post,2,no,0.08000000,80000.00,11.28979441,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,AMERICAN ASSOCIATION OF CROP INSURERS,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q3,6,4,2008-07-01,2008-09-30,no,yes,post,2,no,0.03000000,30000.00,10.30898599,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,AMERICAN ASSOCIATION OF CROP INSURERS,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2008Q4,7,5,2008-10-01,2008-12-31,no,yes,post,2,no,0.03000000,30000.00,10.30898599,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-d5522e62fad7,AMERICAN GAS ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q1,0,-2,2007-01-01,2007-03-31,no,yes,clean_pre,4,no,0.13325967,133259.67,11.80006240,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-d5522e62fad7,AMERICAN GAS ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q2,1,-1,2007-04-01,2007-06-30,no,yes,clean_pre,4,no,0.13474033,134740.33,11.81111216,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
hloga-2007-federal-lobbying-disclosure,cand-d5522e62fad7,AMERICAN GAS ASSOCIATION,treated_hloga_lda_client,1,Official LDA API,federal LDA reported lobbying amount,2007Q3,2,0,2007-07-01,2007-09-30,yes,no,event_quarter_excluded,4,no,0.13575000,135750.00,11.81857760,"LDA issue rows collapsed to filing UUID, registration rows removed, latest filing revision retained per actor-client-registrant-period, semiannual amounts allocated to quarters by covered days","Descriptive source-confounded HLOGA panel diagnostics only; no causal substitution effect, hidden-channel magnitude, policy calibration, or national generalization."
